grade,race,count,,
<chr>,<fctr>,<int>,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
A,sumasian,153,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
B,sumasian,440,,
C,sumasian,1009,,
C,sumasian,1009,,
C,sumasian,1009,,
C,sumasian,1009,,
C,sumasian,1009,,
C,sumasian,1009,,
C,sumasian,1009,,
C,sumasian,1009,,
C,sumasian,1009,,
C,sumasian,1009,,
